12,en,Swimming,That thing you do in water.,12
14,de,Schwimmen,Ja das was man im Wasser macht,12
11,en,Running,Looking for a nice route? Post here.,11
15,de,Laufen,Sie suchen eine neue Route? Posten Sie hier.,11
7,en,Netflix,Wanna know what people watch in your area? Check the posts here.,10
16,de,Netflixen,Sie wollen wissen was in Ihrer Umgebung geschaut wird? Schauen Sie sich die Posts hier an.,10
8,en,Strolling,This is the place to post pictures of your favorite landscape.,9
17,de,Spazieren gehen,Posten Sie hier Bilder Ihrer Lieblingslandschaften.,9
6,en,Play bass,Davie504 would approve!,8
18,de,Bass spielen,Davie504 würde das gefallen!,8
5,en,Singing,The oldest instrument.,7
19,de,Singen,Das älteste Instrument.,7
4,en,Playing drums,Who is your idol?,6
20,de,Schlagzeug spielen,Wer ist Ihr Vorbild?,6
3,en,Playing guitar,John Frusciante!,5
21,de,Gitarre spielen,John Frusciante!,5
9,en,Playing Doppelkopf,The classic german card game.,4
22,de,Doppelkopf spielen,Fast so gut wie Skat.,4
10,en,Playing Skat,The best German card game.,3
23,de,Skat spielen,Das beste Kartenspiel.,3
1,en,Playing chess,Real life opponents are hard to find. Look here.,2
24,de,Schach spielen,Gegner zu finden ist nicht so leicht. Suchen Sie hier.,2
25,de,Azul spielen,Spiel des Jahres 2018.,1
13,en,Playing Azul,Game of the Year 2018.,1
